226,Bryce McGowens (D),Nebraska,1.96,82,SF,14
227,P.J. Washington,Kentucky,2.01,104,PF,14
228,Jalen McDaniels,San Diego State,2.06,96,PF,14
229,J.T. Thor,Auburn,2.06,93,PF,14
230,Mason Plumlee,Duke,2.13,113,C,14
231,Mark Williams,Duke,2.13,110,C,14
232,Nick Richards,Kentucky,2.13,113,C,14
233,Kai Jones,Texas,2.08,102,C,14
234,Kyle Lowry,Villanova,1.83,89,PG,15
235,Gabe Vincent,UC Santa Barbara,1.91,91,PG,15
236,Tyler Herro,Kentucky,1.96,88,SG,15
237,Victor Oladipo,Indiana,1.93,97,SG,15
238,Caleb Martin,Nevada,1.96,91,SF,15
239,Duncan Robinson,Michigan,2.01,98,SF,15
240,Max Strus,DePaul,1.98,98,SF,15
241,Jimmy Butler,Marquette,2.01,104,PF,15
242,Haywood Highsmith,Wheeling Jesuit,2.01,100,PF,15
243,Bam Adebayo,Kentuchy,2.06,116,C,15
244,Dewayne Dedmon,USC,2.13,111,C,15
245,Omer Yurtseven,Georgetown,2.13,125,C,15
246,Udonis Haslem,Florida,2.03,107,C,15
247,Mike Conley,Ohio State,1.85,79,PG,16
248,Jordan Clarkson,Missouri,1.93,88,PG,16
249,N. Alexander-W,Virginia Tech,1.96,93,PG,16
250,Collin Sexton,Alabama,1.85,86,SG,16
251,Leandro Bolmaro,España,1.98,83,SG,16
252,Johnny Juzang,UCLA,1.96,95,SG,16
253,Malik Beasley,Florida State,1.93,99,SF,16
254,T. Horton-Tucker,Iowa State,1.93,106,SF,16
255,Ochai Agbaji,Kansas,1.96,98,SF,16
256,Simone Fontecchio,España,2.03,95,SF,16
257,Lauri Markkanen,Arizona,2.13,109,PF,16
258,Jarred Vanderbilt,Kentuky,2.03,95,PF,16
259,Rudy Gay,Uconn,2.03,113,PF,16
260,Kelly Olynyk,Gonzaga,2.11,109,PF,16
261,Walker Kessler,Auburn,2.13,116,C,16
262,Udoka Azubuike,Kansas,2.13,122,C,16
263,Micah Potter,Wisconsin,2.08,112,C,16
264,Jamal Murray,Kentucky,1.93,94,PG,17
265,Bones Hyland,VCU,1.91,78,PG,17
266,Ish Smith,Wake Forest,1.83,83,PG,17
267,Collin Gillespie,Villanova,1.88,89,PG,17
268,K. Caldwell-P,Georgia,1.96,93,SG,17
269,Bruce Browny,Miami,1.93,92,SG,17
270,Christian Braun,Kansas,1.98,95,SG,17
271,Peyton Watson,UCLA,2.03,91,SG,17
272,Michael Porter Jr,Missouri,2.08,95,SF,17
273,Davon Reed,Miami,1.98,100,SF,17
274,Vlatko Cancar,Serbia,2.04,95,SF,17
275,Aaron Gordon,Arizona,2.03,107,PF,17
276,Jeff Green,Georgetown,2.03,103,PF,17
277,Jack White,Duke,2.00,102,PF,17
278,Nikola Jokic,Serbia,2.13,113,C,17
279,DeAndre Jordan,Texas A&M,2.11,120,C,17
280,Zeke Nnaji,Arizona,2.11,109,C,17
281,Damian Lillard,Weber State,1.88,88,PG,18
282,Shaedon Sharpe,Kentucky,1.98,90,PG,18
283,Anfernee Simons,IMG Academy,1.91,82,SG,18
284,Gary Payton II,Oregon State,1.91,88,SG,18
285,Keon Johnson,Tennesse,1.93,84,SG,18
286,Josh Hart,Villanova,1.96,98,SF,18
287,Nassir Little,North Carolina,1.96,100,SF,18
288,Justise Winslow,Duke,1.98,101,SF,18
289,Jerami Grant,Syracuse,2.03,95,PF,18
290,Trendon Watford,LSU,2.06,109,PF,18
291,Jabari Walker,Colorado,2.01,97,PF,18
292,John Butler Jr,Florida State,2.16,79,PF,18
293,Jusuf Nurkic,Croacia,2.13,132,C,18
294,Oliver Sarr,Kentucky,2.13,109,C,18
295,Drew Eubanks,Oregon state,2.06,111,C,18
296,Greg Brown,Texas,2.06,93,C,18
297,D`Angelo Russel,Ohio State,1.93,90,PG,19
298,Jordan McLaughlin,USC,1.83,80,PG,19
299,Jaylen Nowell,Washington,1.93,92,PG,19
300,Anthony Edwards,Georgia,1.93,99,SG,19
301,Austin Rivers,Duke,1.93,91,SG,19
302,Bryn Forbes,Michigan State,1.88,93,SG,19
303,Jaden McDaniels,Washington,2.06,88,SF,19
304,Taurean Prince,Baylor,2.01,95,SF,19
305,Wendell Moore,Duke,1.96,98,SF,19
306,Josh Minott,Memphis,2.03,93,SF,19
307,Karl-Anthony Towns,Kentucky,2.13,111,PF,19
308,Kyle Anderson,UCLA,2.04,104,PF,19
309,Rudy Gobert,Francia,2.16,117,C,19
310,Naz Reid,LSU,2.06,112,C,19
311,Nathan Knight,William & Mary,2.06,109,C,19
312,Luka Garza,Iowa,2.11,110,C,19
313,Shai Gilgeous-Alexander,Kentucky,1.96,82,PG,20
314,Josh Giddey,Australia,2.03,93,SG,20
315,Tre Mann,Florida,1.96,86,SG,20
316,Isaiah Joe,Arkansas,1.96,82,SG,20
317,Luguentz Dort,Arizona State,1.91,98,SF,20
318,Jalen Williams,Santa Clara,1.96,93,SF,20
319,Aaron Wiggins,Maryland,1.98,91,SF,20
320,Lindy Waters,Oklahoma State,1.98,98,SF,20
321,Aleksej Pokusevski,Grecia,2.13,86,PF,20
322,Darius Bazley,Princeton HS (OH),2.03,94,PF,20
323,Kenrich Williams,TCU,1.98,95,PF,20
324,Ousmane Dieng,Nueva Zelanda,2.08,93,PF,20
